seed,irrev_sit_count,ablated_sit_count,delta_sit_count,irrev_mean_Ct,ablated_mean_Ct,delta_mean_Ct,irrev_normal_ticks,ablated_normal_ticks,delta_normal_ticks,irrev_alpha_final,ablated_alpha_final,delta_alpha_final,irrev_alpha_slope,ablated_alpha_slope,delta_alpha_slope
73,0.0,0.0,0.0,0.569390522875817,0.6292166666666666,-0.059826143790849606,59.0,55.0,4.0,0.8685,0.8684,0.00010000000000010001,0.2946466666666667,0.29454666666666673,9.999999999998899e-05
74,0.0,0.0,0.0,0.572845751633987,0.6314918300653595,-0.058646078431372484,60.0,56.0,4.0,0.5692,0.5691,9.999999999998899e-05,0.09596666666666664,0.09586666666666666,9.999999999998899e-05
75,0.0,0.0,0.0,0.5696375816993464,0.6278555555555555,-0.05821797385620908,59.0,56.0,3.0,0.8704,0.8835,-0.0131,0.2965466666666666,0.30964666666666685,-0.013100000000000223
76,0.0,0.0,0.0,0.569390522875817,0.6265447712418301,-0.057154248366013016,59.0,55.0,4.0,0.8665,0.875,-0.008499999999999952,0.2926466666666666,0.3011466666666667,-0.008500000000000063
77,0.0,0.0,0.0,0.5661454248366014,0.625275816993464,-0.059130392156862666,60.0,56.0,4.0,0.8668,0.8667,9.999999999998899e-05,0.30107000000000017,0.30097000000000007,0.00010000000000010001
78,0.0,0.0,0.0,0.5661339869281046,0.6251928104575164,-0.05905882352941183,60.0,56.0,4.0,0.9098,0.9097,0.00010000000000010001,0.34343333333333337,0.3433333333333334,9.999999999998899e-05
79,0.0,0.0,0.0,0.5699794117647059,0.6284993464052288,-0.05851993464052285,59.0,56.0,3.0,0.8657,0.8764,-0.010699999999999932,0.2918466666666667,0.30254666666666674,-0.010700000000000043
80,0.0,0.0,0.0,0.5657418300653595,0.6276875816993464,-0.061945751633986856,60.0,56.0,4.0,0.8626,0.8773,-0.014699999999999935,0.2887466666666666,0.30344666666666675,-0.014700000000000157
81,0.0,0.0,0.0,0.5657267973856208,0.6250104575163398,-0.05928366013071895,60.0,56.0,4.0,0.8956,0.8955,9.999999999998899e-05,0.32174666666666674,0.3216466666666665,0.00010000000000021103
82,0.0,0.0,0.0,0.5704441176470588,0.6305718954248365,-0.06012777777777767,59.0,56.0,3.0,0.8546,0.8775,-0.02289999999999992,0.2807466666666667,0.3036466666666666,-0.02289999999999992
83,0.0,0.0,0.0,0.5690245098039216,0.6273673202614378,-0.058342810457516214,59.0,56.0,3.0,0.8808,0.8916,-0.01079999999999992,0.30500666666666665,0.31580666666666657,-0.01079999999999992
